;Adriano Jose Ferruzzi;Alessandra da Silva Carneiro;Alessandro Emilio Teruzzi;Alex Sandro Rodrigues Ancioto;Alexandre José Romagnoli;Alexandre Machado Rosa;Ana Carolina Vila Ramos dos Santos;Ana Claudia Folha da Cruz;Ana Márcia Lima Costa;Ana Paula Rodrigues Magalhães de Barros;André Luiz Favareto;Andréa Antonieta Cotrim Silva;Ariane Macedo Melo Ferraz;Beatriz Ferraz Diniz;Bruno Secco Faquin;Bruno Sérgio do Amaral;Bárbara Beatriz Freitag;Carolina Aparecida de Freitas Dias;Caroline Inês Lisevski;Claudia Almerinda de Souza Oliveira;Danilo Marcondes de Alcantara;Davi Munhoz Benati;Elisangela Lizardo de Oliveira;Emanoel Fabiano Menezes Pereira;Eudes Müller D'Oliveira Santos;Eufrida Pereira da Silva;Everaldo Paulo da Silva;Fabio Oliveira Teixeira;Felipe Alexandre Cardoso Pazinatto;Felipe Rodrigues Martinez Basile;Fernando Cesar Mendonca;Fernando Luis Rossi;Fernando da Silva Pardo;Filipe Mantovani Ferreira;Flávia Roberta Torezin;Hadassa Viviane Rodrigues;Idalise Bernardo Bagé;Igor Calebe Zadi;Igor Polezi Munhoz;Ingrid Anelise Lopes;Irando Alves Martins Neto;Jair Garcia dos Santos;Jairo Filho Sousa de Almeida Ferreira;Jeferson Antunes;José Geraldo Basante;José Roberto Campanele;Juliana de Souza Topan;Junot de Oliveira Maia;Júlio Samuel Sávio Bernardo;Kamili Oliveira Santana;Krícia Helena Barreto;Leandro Módolo Paschoalotte;Lincon Lopes;Lucas Rodrigues dos Santos;Luciana Cavalcanti Maia Santos;Luciano Henrique Trindade;Marcelo Cizaurre Guirau;Maria Cristina Stello Leite;Moacir Silva de Castro;Nelio Fernando dos Reis;Nilton Pereira dos Santos;Patricia Horta;Patricia de Aquino Prudente;Patrícia Cristiane Santana da Silva;Paulo Eduardo Pissardini;Pedro Ernesto Schiavinatti Tavares;Priscila Hanako Ishy de Magalhães;Regivaldo Sousa Ferreira;Reinaldo da Silva Caraça;Renato Cristiano Montanher;Renato Marcon Pugliese;Ricardo Normanha Ribeiro de Almeida;Rita Roberta Marioto;Roberta Caetano Fleira;Robson Barbosa;Rogério Aparecido Campanari Xavier;Rogério Aparecido Pereira;Rogério Deitali Bruno;Romario Araujo Pinheiro;Silene Jucelino de Lima;Tatiana Aparecida Picosque;Teresa Helena Buscato Martins;Thiago Pedro Donadon Homem;Thiago Silva Broze;Valdir Donizete dos Santos Junior;Vanessa Regina Ferreira da Silva;Whisner Fraga Mamede;Wilian Ramalho Feitosa;William Rosseti
André Luiz Favareto;ambientes, system;;;management;;;;;;learning, system;;;;;;integrated;literatura;learning, literatura, revisão;learning;;;;;aprendizagem;;;;aprendizagem;management;;revisão;;ambientes, aprendizagem, literatura;;;;;;management;aprendizagem;literatura;aprendizagem;literatura, revisão;literatura, revisão;;;literatura;aprendizagem;;;expression;;;system;literatura, management, revisão;literatura, revisão;literatura;;;management, system;;;;system;literatura, management, revisão, system;;literatura;aprendizagem;;literatura, revisão;;;;;;;;;;;;;learning;;;literatura;;;
Andréa Antonieta Cotrim Silva;;;;;;;feminino;;;;;;;;;;;feminino;;feminino;;;;;;;;;;feminino;;;atual;;brasileiro;;;pensamento;brasileiro;;crítico, letramento;brasileira;;;;;;brasileiro;;;;;;;;governo, letramento;governo;;;brasileiro;;;;;;;;;;pensamento;;brasileiro;;;;;;;;;;;feminino;brasileiro;brasileira, governo;;;;
Ariane Macedo Melo Ferraz;;;;;educacional;;;;;;;;;;;;;;;;;;;;;;;educacional;;percepções;;;línguas;;;;educacional;complexo;educacional;;;;;contribuição, educacional;;;;;contribuição;;;;;;contribuição, educacional;;;;;;;;;;;;;;;complexo, línguas;;;;;;;;;;;;;percepções;design;;;;;
Beatriz Ferraz Diniz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sp;;;;;;sp;;;;;;;;;sp;;;;;;;;;;;;;;;;;;;;;;;;
Bruno Secco Faquin;;;;;;;;;;;;;;;;;;;;;;;;;analysis;;;analysis;;;;;;;;;;;analysis, prediction;;;;;;;;;;;;;;;;analysis;;;;;;;;;;;analysis;;;;;;;;;;;;;analysis;;;;ball, soccer;analysis;;;;;
Bruno Sérgio do Amaral;cell;;;evaluation, magnetic;educação;educação;educação, ifsp;;educação;brazilian;integrated;;;;;;;educação;;câmpus, ifsp, paulo, pirituba;;evaluation;;;brazilian, plant;;;brazilian;paulo;paulo;;evaluation, new, paulo;;;conceito;paulo;paulo;;assessment, brazilian, paulo;;ifsp, paulo;educação, implementação;paulo;ambiental, diagnóstico, educação;;;;;câmpus, ifsp, paulo, pirituba;crude;;;conceito;evaluation;ambiental, assessment, brazilian, coleta, câmpus, diagnóstico, educação, efeitos, ifsp, implementação, paulo, pirituba, seletiva;diagnóstico, educação, efeitos, pirituba;ifsp;paulo;câmpus, educação, paulo, pirituba;brazilian, educação, ifsp, paulo, pirituba;paulo;;;câmpus, ifsp, paulo, pirituba;new, paulo, period;;;paulo, via;efeitos;;educação, paulo;;;educação;educação, paulo;;;ifsp;harvesting, synthesis;;educação;ifsp, pirituba;;diagnóstico, implementação;;paulo;;conceito, educação, evaluation, ifsp, paulo, pirituba;ifsp, paulo, pirituba
Bárbara Beatriz Freitag;análise;;;análise;análise, gestão;;mulheres;análise, desafios;impactos, pandemia;pandemia, práticas;literatura;;;;;;;análise, características, literatura, práticas;;;;;análise;análise, áreas;;;;;desafios, gestão;conhecimento;análise, gestão;conhecimento, desafios, gestão;conhecimento, desafios, literatura, práticas;;;;;;análise, gestão, impactos, trabalho;;literatura, práticas;análise;literatura;análise, desafios, gestão, literatura, mulheres, práticas, trabalho;corporativas;;literatura;;análise, áreas;;;gestão, pandemia;desafios;;análise, diferentes, literatura, pandemia, áreas;análise, conhecimento, desafios, gestão, impactos, literatura;literatura, pandemia;desafios, mulheres, práticas;;desafios, gestão, trabalho;;mulheres;;áreas;gestão, literatura, trabalho;;literatura;análise;;conhecimento, literatura;trabalho;impactos, trabalho;;análise, práticas;desafios, gestão, impactos;;;;;;;análise, conhecimento;conhecimento;gestão, trabalho;;literatura, trabalho;;análise, brasileiras, conhecimento, gestão, impactos;análise, brasileiras, brasileiros, conhecimento, gestão
Carolina Aparecida de Freitas Dias;análise;;;análise;análise, brasil, educação;educação;educação, feminino, políticas;análise;educação, estudantes;avaliação, docente, estudantes, learning, práticas;learning, literatura, revisão;feminino;;;;educação;análise, características, literatura, práticas;;learning;feminino;;;análise, proposta;análise, desenvolvimento, estudo;;;;estudo;caso, desenvolvimento, estudo;brasil, caso, desenvolvimento, feminino;análise, brasil, caso, curso, estudo, revisão;brasil, caso, estudo, perspectivas, políticas;literatura, perspectivas, práticas;caso;;;avaliação, curso, estudo, políticas, proposta;;análise, caso, estudo, organizacional, vida;estudantes, estudo;literatura, perspectivas, práticas;análise, desenvolvimento, educação, estudantes, vida;literatura, revisão;análise, brasil, desenvolvimento, educação, estudantes, estudo, humanos, integrativa, literatura, políticas, práticas, resultados, revisão;competências;;literatura;brasil, caso, estudo, humanos, proposta, recursos;análise;;caso, estudo;;estudo;;análise, avaliação, brasil, caso, educação, estudo, literatura, revisão;administração, análise, avaliação, brasil, educação, estudo, humanos, literatura, organizacional, revisão;curso, literatura;práticas;caso, docente, educação, proposta;administração, avaliação, brasil, cristo, curso, desenvolvimento, educação, estudo, organizações;brasil, caso;;;avaliação;caso, estudo, framework, influência, literatura, perspectivas, proposta, revisão;;literatura;análise, desenvolvimento;;literatura, revisão;brasil, carreira, docente, educação, políticas, recursos;brasil, políticas;;análise, educação, práticas, vida;brasil, caso, educação, estudo, perspectivas, políticas, proposta;;;curso;;caso, curso, estudo;educação, políticas;análise, curso, recursos;feminino, framework, learning;caso, desenvolvimento, estudo, fatores;perspectivas;carreira, docente, literatura;;análise, avaliação, brasil, caso, desenvolvimento, educação, estudo, organizacional, políticas, proposta;análise, brasil, estudo, perspectivas
Caroline Inês Lisevski;;;;simulador;;;;;;context, learning;learning;;;;;;;learning;;;;production;;smartphone;;;;;;;;performance;;;;;;;performance, research, science;;;;brazil, context;;;;;online;;hydrogen, production;;;;performance;brazil;;;;;brazil, performance;;;;;;;;;;;;;;;;;;;hydrogen, performance;;;;learning, research;brazil;;;;brazil, context, online, sharing;
Claudia Almerinda de Souza Oliveira;aplicação;;;;;;feminino, ifsp;;;;;feminino;;;;câmpus, ifsp, paulo, pirituba;;feminino;;;;;;;;;;aplicação, artificial;paulo;aplicação, através, feminino, geração, paulo, perspectiva, renda;estoque;controle, paulo;;;;paulo;paulo;;geração, paulo;;ifsp, paulo;;paulo;aplicação, geração, perspectiva, renda;;;;;câmpus, ifsp, paulo, pirituba;aplicação, geração;;artificial, controle;;;câmpus, ifsp, imagens, paulo, pirituba;pirituba;ifsp;imagens, paulo;câmpus, paulo, pirituba;artificial, ifsp, paulo, pirituba;paulo;;;câmpus, ifsp, paulo, pirituba;controle, paulo, perspectiva;;;aplicação, paulo;;perspectiva;paulo;;;perspectiva;controle, paulo, perspectiva;;;ifsp;;;;ifsp, pirituba;aplicação, artificial, através, feminino, geração, neural, perspectiva, renda;aplicação, através, estoque, perspectiva, renda;;paulo;;controle, ifsp, paulo, perspectiva, pirituba;controle, ifsp, paulo, pirituba
Danilo Marcondes de Alcantara;;;;;;;violência;;reflexões;reflexões;;;;;;;;;;;;;;;;;;;;;;;reflexões;;;;;;;;;;;acerca;;;;;;;;;;;;;;;;;;;;;pr;;;acerca;;;reflexões;;;reflexões;;;;;;;;;;;;reflexões;;;
Davi Munhoz Benati;;;;evaluation;;;;;;;;;;;;evaluation;;;production;;;;;;study;;;;;;;evaluation;;;;;;;investment, study;;;;;;;;;;;process, production;;;;evaluation;study;;;;;study;;;;study;;observation, phase, thermodynamic;;study;;;;;;;;;study;;;;;;study;phase, study;;;;evaluation, study;
Elisangela Lizardo de Oliveira;análise;;;análise;análise;;projeto;análise, ciência;;escola, olhar, partir, sob;;;;;;;análise;análise, proposta;;;;;;análise;;;;;projeto;projeto;análise;projeto;escola;;;;olhar, proposta;;análise, satisfação;escola;;análise, projeto;;análise, científica, ciência;;;;escola, partir, proposta;análise;partir;;ciência;;;análise;análise;;partir;proposta;;;;;;partir, proposta;;;análise, divulgação;;;ciência;partir, sob;;análise, olhar;proposta;;;;;;;análise;projeto;sob;;olhar;;análise, projeto, proposta;análise, projeto
Emanoel Fabiano Menezes Pereira;análise;;ensino, matemática, médio;análise, aspectos, ensino;análise;construção;;análise, possibilidades;ensino, médio;ensino, formação, investigação, matemática, possibilidades, potencialidades, professores, provas;aprendizagem;;;;;;análise, áreas;análise, desenvolvimento, estudo;smartphone;;;;análise;;processos;;ensino, matemática;aprendizagem, ensino, estudo, uso;desenvolvimento, estudo;construção, desenvolvimento, investigação, uso;análise, estudo;estudo;aprendizagem, construção, ensino;;ensino, formação, professores;;ensino, estudo, formação, função, funções, ingressantes, matemática, professores, uso, área;;análise, estudo, processos, uso, área;aprendizagem, estudo;construção, ensino, formação;análise, aprendizagem, desenvolvimento, dificuldades, ensino;;análise, co, construção, desenvolvimento, ensino, estudo, formação, inicial, processos, professores;;;;aprendizagem, estudo;análise, elaboração, espacial, áreas;processos;estudo, uso;questão, questões;estudo, uso;;análise, compreensão, elaboração, ensino, espacial, estudo, áreas;análise, estudo, formação, processos, uso;construção, ensino, formação, professores, questões;ensino;ensino, formação, questão;construção, desenvolvimento, estudo, uso;;;;áreas;construção, estudo, uso;;;análise, aprendizagem, desenvolvimento;;construção, ensino, uso;ensino, médio;atividade, ensino, formação, possibilidades;uso;análise, ensinando, ensino, matemática, professores, resolução;estudo;;;construção;;estudo;;análise, construção, ensino, uso, área;construção, uso;desenvolvimento, estudo;;;;análise, atividade, construção, desenvolvimento, estudo, interação, uso;análise, estudo, formação
Eudes Müller D'Oliveira Santos;;;;;sistema;;;;;brazilian;;;;;analysis;brazilian, plant;;;;;;study;;processos;;;;analysis, brazilian, utilizando;sistema;;sistema, utilizando;;;;;;utilizando;auxiliar, utilizando;analysis, brazilian, processos, scenario, study;;;;;processos, utilizando;;;;;utilizando;processos, utilizando;;;sistema;;analysis, brazilian, sistema, study, temperatura, utilizando;processos;;;;brazilian, study, utilizando;;;;study;sistema, utilizando;analysis;;sistema, study;;auxiliar, utilizando;;;;;;;study, test;;analysis;;;;comparative, result, scenario, study;analysis, study, utilizando;;;utilizando;sistema, study;
Eufrida Pereira da Silva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Everaldo Paulo da Silva;;;cálculo, ensino, matemática;ensino;;;;;ensino;ensino, matemática;;;;;;;;;;;;;;ensino, matemática;;;;ensino;;;;;ensino;;ensino;;ensino, matemática;;;;ensino;ensino;;ensino;;;;;;;;;;;ensino;;ensino;ensino;ensino;;;;;;;;;;;ensino;ensino;ensino;;ensino, matemática;;;;;;;;ensino;;;;;;;
Fabio Oliveira Teixeira;aplicação, clientes, redes, sociais;;ensino;ensino;educacional;visão;redes, sociais;;ensino, escolas, técnicas;ambiente, brazilian, digital, ensino;aprendizagem;;educacional;;analysis;brazilian;;estudo;;aplicação, artificial;;;;aprendizagem, ensino, estudo, uso;analysis, brazilian, utilizando;;ensino;;digital, estudo;aplicação, computacional, digital, uso;digital, estudo, utilizando;digital, estudo;aprendizagem, ensino, sociais;;ensino;;educacional, ensino, estudo, uso, utilizando;digital, utilizando;analysis, brazilian, digital, educacional, estudo, informações, proteção, uso;aprendizagem, estudo;digital, ensino, sociais;aprendizagem, ensino;;aplicação, educacional, ensino, estudo, processo, utilizando;;;;aprendizagem, digital, estudo, redes, sociais;utilizando, visão;aplicação, utilizando;estudo, proteção, uso;artificial, digital, health, inteligência;estudo, uso;;analysis, brazilian, computacional, câncer, educacional, ensino, escolas, estudo, informações, modelagem, propagação, recurso, utilizando, visão;escolas, estudo, sociais, uso;ensino;ensino, processo;ensino;artificial, brazilian, estudo, inteligência, uso, utilizando;;;;;estudo, modelagem, uso, utilizando;analysis;;aplicação, aprendizagem, clientes, monitoramento, técnicas;;digital, ensino, uso, utilizando;ensino;ensino;uso;ensino;digital, estudo, sociais;;;processo;analysis;estudo;;ensino, processo, uso, visão;aplicación, aplicação, artificial, computacional, inteligencia, mascarillas, monitoramento, monitorear, máscaras, protección, proteção, uso, visão;analysis, aplicação, estudo, técnicas, utilizando;máscaras;;utilizando;clientes, digital, estudo, monitoramento, portuguese, redes, sociais, uso;digital, estudo
Felipe Alexandre Cardoso Pazinatto;computação;;tecnologia;management;gestão, papel, sistema, social;papel;projeto;desafios;;campus, digital;management;;;;;paulo;desafios, gestão;caso, desenvolvimento, estudo;;paulo;;;projeto;desenvolvimento, estudo;sistema;;;digital, estudo;;aplicativo, caso, desenvolvimento, digital, federal, instituto, paulo, projeto, social;caso, digital, estudo, gestão, papel, sistema;caso, computadores, desafios, digital, estudo, gestão, paulo, projeto;desafios, expressão;caso;;paulo;estudo, paulo;digital, jogo;caso, digital, estudo, gestão, management, paulo, technology;estudo;campus, digital, paulo;arte, campus, desenvolvimento, projeto;paulo;desafios, desenvolvimento, estudo, federal, gestão, jogo, jogos, social;;strategic;;caso, digital, estudo;campus, federal, instituto, paulo;;caso, estudo;digital, gestão;desafios, estudo, sistema;;arte, campus, caso, estudo, federal, instituto, management, paulo, sistema;desafios, estudo, gestão;campus;desafios, paulo;caso, federal, instituto, paulo;campus, desafios, desenvolvimento, estudo, federal, gestão, management, manager, paulo, social, tecnologia;caso, paulo;;social;paulo;caso, estratégico, estudo, gestão, management, manager, paulo, role, sistema, strategic, technology, tecnologia;;;desenvolvimento, paulo, sistema;;digital, jogo, jogos;federal, instituto, paulo;;;;aplicativo, caso, computadores, desafios, digital, estudo, gestão, paulo, technology;;;campus;;caso, estudo;;campus;projeto;caso, desenvolvimento, estudo, gestão, papel;;federal, instituto, paulo;;campus, caso, desenvolvimento, digital, estudo, gestão, papel, paulo, projeto, role, sistema, social, technology;digital, estudo, gestão, paulo, projeto
